educstat,city,country,gender,digitools,industry,careerstg,worksame,workcity,salary,typework,sitework,datarole,restofrole,sizeteam,ingestion,transform,warehs,orchest,busint,reversetl,dataqual,datacatalog,cloudplat,noncloudplat,generaltools,whatused,useai,hostedntbk,hardware,depwebsite,depwebres,otherfb,spneeds,volunteer,comms,successmethod,employertype,age_grp
College degree,Antipolo City,Philippines,Male,"Coursera, edX, Google Analytics, Google Cloudskills Boost, Khan Academy, Udemy, W3Schools","IT, BPO, and Business Services",Career shifter,Work city same as residence,Tallinn,"25,001 to 35,000",Full-time,100% onsite,Data Analyst,"Management, Business Analyst",2 to 3,,,"Big Query, Google Datamart",,Power BI,,,,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Alibaba Cloud",PostgreSQL,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Clickup, Monday.com, Asana, Trello, Zoom, MS Teams, Google Meet, Slack, Discord",,"No, I do not use AI currently",Kaggle Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Analytics Philippines, Datasense Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition",Answer surveys,,LinkedIn,Local employer,25 to 29
Master's degree,United Kingdom,Spain,Prefer not to say,"Udemy, W3Schools",PhD Student,Still learning,Work city same as residence,Pasay,"125,001 to 250, 000",Contract fixed timeline,"Hybrid - Priority at Home, but would come to site if needed",Reports Developer/Data Generalist,Data Engineer,11 to 30,"Airbyte, Debezium",Sql,"Don't know, None",Dolphin Scheduler,"Power BI, R","None, IBM Websphere Cast Iton",N.A,Databricks,"Don't know, None","Apache Hadoop, Apache Spark, Apache Kafka, MongoDB, PostgreSQL, Oracle Database, Cloudera, Teradata","Google sheets, Excel, MS Teams","Python, SQL, Lookml",Amazon Q,Notion ,laptop,"No, I just found out now.",,"Analytics Association of the Philippines, Community: SPARTA PH, DEVCON Community Group, DEVCON Philippines, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Regularly post content",,none as of the moment,Academe,25 to 29
College degree,Rizal,Philippines,Male,MicrosoftLearn,"IT, BPO, and Business Services",Freelance but going back to employee,Work city same as residence,Lingayen,"15,000 and below",Full-time,Mostly work from home/ fully remote,Software Engineer,Biomedical Equipment Technician,2 to 3,"Azure Data Factory, Synapse Analytics","ACL, Azure Data Factory",,Azure Data Factory,Looker,,,,,,"Google sheets, Excel, Google Drive, Zoom, Google Meet","DAX (Power BI), Python, R, Scala, SQL, VBA","Chatgpt, Copilot, Gemini",,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,none at the moment,LinkedIn,Multinational employer,20 to 24
College degree,Cavite,Philippines,Female,Datacamp,Construction,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Zoom, Google Meet, Discord","Javascript, M language (Power Query), Python, R, SQL","Chatgpt, Copilot, Gemini",Databricks Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Analytics Association of the Philippines, Data Analytics Philippines, Data Science Philippines Discussion Group (Moderated), DEVCON Community Group, DEVCON Philippines, FTW Foundation, Power BI Philippines UG, Project SPARTA, Python Philippines, R User Group - Philippines, Women Who Code Manila","Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,Regular knowledge check and ways to improve the newly learned skill each week otherwise add some more.,,Multinational employer,25 to 29
Other - specify,"Caloocan, Philippines",Philippines,Male,"Freecodecamp, Khan Academy, W3Schools",Energy,Career shifter,Work city different from residence,Mandaluyong city,"15,001 to 25,000",Full-time,100% onsite,Data Engineer,Data Engineer,30+,,"ACL, Azure Data Factory","AWS Redshift, Amazon DynamoDB and Amazon RDS",Amazon ec2,,,,,Google Cloud Platform (GCP),PostgreSQL,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet",SQL,Chatgpt,Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Analytics Association of the Philippines, Power Apps Pilipinas Community, Power BI Philippines UG","Career advancement, Upskill / Skill acquisition",Answer surveys,,Facebook,Local employer,25 to 29
College degree,"Caloocan, Philippines",Philippines,Male,"Coursera, edX, IBM Skills Gateway, Udemy, W3Schools",Unemployed,Career shifter,Work city different from residence,Tuguegarao City ,"250,001 and above",Other - specify,Unemployed,Unemployed,"Management, Software Engineer, Analytics Engineer",1 - Just me,,,,,Power BI,,,,,"PostgreSQL, SQL SERVER","Google sheets, Excel, Google Drive, Asana, Google Meet, Slack","Javascript, Python","Chatgpt, Claude","Colab Notebooks, PythonAnywhere Jupyter Notebook",,"No, I just found out now.",,Power BI Philippines UG,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups, Resource for specific topic",Joining in the initiatives ,LinkedIn,Unemployed,35 to 39
College degree,"Davao City, Philippines",Philippines,Male,"Brilliant, Kaggle Online course, Power Up Program, Udemy, Zoomcamp",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,"Don't know, None",,,MySQL,"Excel, Google Drive, Trello, Slack, Discord","Javascript, R","No, I do not use AI currently",,workstation,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","[Manila] BIG DATA Tech Group, AI Design Philippines, AI Pilipinas, AWS AI/ML, Data Analytics Philippines, Data and Analytics Manila, Data Science Manila, Data Science Philippines, Data Science Philippines Discussion Group (Moderated), DevOps Philippines, DEVCON Community Group, DEVCON Philippines, FTW Foundation, Java User Group Philippines, Philippine Data Platform Forums, Philippine Data Scientists Community - eScience, PizzaPy - Cebu Python Users Group","Continued learning, Upskill / Skill acquisition","Answer surveys, Co-training/ Training",,,,30 to 34
College degree,"Manila, Philippines",Philippines,Prefer not to say,Datacamp,Education,Student/ New grad/ Career Break,,,,,,,,,,,,,"Metabase, Looker, Power BI, Tableau","Don't know, None",,,,,Excel,"Python, R, SQL","Chatgpt, Gemini",PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.",,"Career advancement, Decision to shift","Answer surveys, Coordinate during events, Resource for specific topic, Volunteer for group initiatives",,,Multinational employer,20 to 24
College degree,"Makati, Philippines",Philippines,Male,"Datacamp, HackerRank, LinkedIn Learning, Oracle University, Pluralsight, Udemy, W3Schools, Youtube bootcamp",Not working,Professional,Work city same as residence,Iligan City,"45,001 to 55, 000",Full-time,Hybrid,Business Analyst,"Management, Data Scientist, Machine Learning Engineer, AI Engineer",6 to 10,,Pandas,,,,,,,"Amazon Web Services (AWS), Google Cloud Platform (GCP)",,"Google sheets, Excel, Dropbox, Google Drive, Trello, Zoom, MS Teams, Google Meet, Slack","DAX (Power BI), M language (Power Query)","Chatgpt, Gemini, Perplexity, Julius",Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Regularly post content",,LinkedIn,Local employer,20 to 24
College degree,"Davao City, Philippines",Philippines,Male,"Datacamp, Udemy, W3Schools",Education,Career shifter,Work city different from residence,Makati,"45,001 to 55, 000",Full-time,Mostly work from home/ fully remote,Data Engineer,"Management, IT Operations",2 to 3,Don't know,Don't know,"Don't know, None","Don't know, None",Looker,"Don't know, None","Don't know, None","Don't know, None",Amazon Web Services (AWS),"Don't know, None","Google sheets, Excel, MS Teams",Python,"Chatgpt, Copilot",Deepnote Notebooks,laptop,"No, I just found out now.","No, I just browsed through.",Data Analytics Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups",Maybe to conduct weekly friendly session or presentation to improve communication skill of members and conduct a monthly or couple of meets and greet to widen network,Headhunter,Local employer,20 to 24
College degree,Pampanga,Philippines,Prefer not to say,"Datacamp, Freecodecamp, Google Analytics, Youtube bootcamp",Banking / Finance / Insurance,Career shifter,Work city same as residence,Davao City,"15,001 to 25,000",Full-time,Hybrid,Management,"Data Analyst, Product Advocate, Support",2 to 3,Don't know,"Pandas, dbt",,,Looker,,,,,,"Google sheets, Excel, Google Drive, Zoom",Appscript (Google),"Chatgpt, Copilot, Gemini, Perplexity",Databricks Collaborative Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Data Analytics Philippines, Data and Analytics Manila, Data Ethics PH, Datasense Philippines, DEVCON Philippines, Digital Analytics Philippines, Power BI Users Meetup","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",Mentor,,My network  - people I know,Multinational employer,20 to 24
College degree,"Bulacan, Philippines",Philippines,Male,"Datacamp, LeetCode, W3Schools",Banking / Finance / Insurance,Career shifter,Work city same as residence,Quezon City,"15,001 to 25,000",Part-time,100% onsite,Business Analyst,Data Analyst,1 - Just me,,,,,,,,,,,"Excel, MS Teams",R,Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors","A number of contents every week. For instance, 3 posts in a span of a week. Simple topics like top 3 most question asked during Data analytics interview. Basic SQL-answered content. :)",My network  - people I know,Multinational employer,25 to 29
College degree,"Davao City, Philippines",Philippines,Male,"AWS Cloud Certification, Codecademy, Coursera, Datacamp, edX, Freecodecamp, Git Hub Learning Lab, Google Analytics, Google Developers, HackerRank, IBM Skills Gateway, Kaggle Online course, Khan Academy, MicrosoftLearn, Real Python, Udacity, Udemy, W3Schools, Youtube bootcamp, Zoomcamp",Not working,Career shifter,Work city different from residence,US,"35,001 to 45,000",Freelance,Mostly work from home/ fully remote,Data Analyst,"Management, Business Analyst, Finance Analyst",2 to 3,,,"Databricks, Big Query, Snowflake","Airflow, Dagster",,,,Datahub,"Amazon Web Services (AWS), Microsoft Azure, Snowflake, Databricks",,"Excel, OneDrive, Zoom, MS Teams, Google Meet",,"Chatgpt, Gemini",,desktop,"No, I just found out now.",,,Continued learning,"Answer surveys, Joint initiative with other groups, Mentor, Co-training/ Training, Volunteer for group initiatives",,"LinkedIn, OnlineJobs.ph, My network  - people I know",,30 to 34
College degree,Laguna,Philippines,Male,"Datacamp, MicrosoftLearn, Udemy","IT, BPO, and Business Services",Career shifter,Work city different from residence,Makati City,"25,001 to 35,000",Full-time,Hybrid,Data Analyst,Academic,1 - Just me,SSIS,"Pandas, ","Don't know, None","Don't know, None",Tableau,"Don't know, None","Don't know, None","Don't know, None",Google Cloud Platform (GCP),Don't know,"Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Slack, Discord","Javascript, SQL, Typescript","Chatgpt, Claude, Gemini",,laptop,"No, I just found out now.","No, I just browsed through.","AI Pilipinas, Robotic Process Automation (RPA) - Manila","Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,,"LinkedIn, Glassdoor",Multinational employer,20 to 24
College degree,"Malay, Aklan Philippines",Philippines,Male,"Datacamp, Udemy, W3Schools",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Excel, Google Drive, Discord",SQL,"Chatgpt, Claude, Gemini, Perplexity",,workstation,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,"Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Volunteer for group initiatives",,,,20 to 24
Master's degree,"Quezon City, Philippines",Philippines,Male,"O'Reilly Online Learning, Gartner","IT, BPO, and Business Services",Professional,Work city different from residence,Makati City,"125,001 to 250, 000",Full-time,Hybrid,Software Engineer,Data Analyst,1 - Just me,,"Pandas, dbt",,,"Looker, Power BI",,,,,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord",,"Chatgpt, Datalab",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","DataScience.PH, DEVCON Philippines, Eskwelabs Data Science Aral-Aral Group, PyData Philippines, Python Philippines","Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups, Volunteer for group initiatives",,LinkedIn,Multinational employer,35 to 39
College degree,"Camarines Sur, Bicol Region, Philippines",Philippines,Male,"Google Analytics, Kaggle Online course",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Google Drive, Zoom, Google Meet, Discord",Python,"No, I do not use AI currently","Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",AI Pilipinas,"Continued learning, Upskill / Skill acquisition",,,,,25 to 29
College degree,"Manila, Philippines",Philippines,Male,Coursera,Energy,Career shifter,Work city different from residence,Work from home,"125,001 to 250, 000",Full-time,100% onsite,Process Executive (Agent),"Management, Business Analyst, Software Engineer, Developer, Process Improvement, Innovation and Transformation",2 to 3,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Amazon Web Services (AWS),Oracle Database,"Google sheets, Excel, Google Drive, OneDrive, Asana, Zoom, MS Teams, Google Meet, Slack, Discord",SQL,,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Data Analytics Philippines,"Decision to shift, Network, Other - specify","Answer surveys, Joint initiative with other groups",,LinkedIn,Local employer,30 to 34
College degree,North Luzon (Benguet Province),Philippines,Prefer not to say,Khan Academy,Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord",none yet,Copilot,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Resource for specific topic",none,,Unemployed,20 to 24
College degree,Bacoor City,Philippines,Female,"Cisco, Coursera, Freecodecamp, LinkedIn Learning, Udemy, W3Schools",Healthcare,Career shifter,Work city same as residence,Singapore,"25,001 to 35,000",Full-time,Mostly work from home/ fully remote,Data Analyst,"Management, Data Analyst",2 to 3,Don't know,"Pandas, Spark",Don't know,Don't know,Power BI,Don't know,Don't know,Don't know,Don't know,Don't know,"Google sheets, Excel, Google Drive, Zoom, Google Meet, Slack",SQL,Chatgpt,Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, FTW Foundation, Women Who Code Manila","Career advancement, Continued learning, Network","Answer surveys, Joint initiative with other groups",Discord is best for me as it is not connected to my personal FB account.,"LinkedIn, Indeed",Independent contractor,30 to 34
College degree,"Ozamiz City, Philippines",Philippines,Female,"Datacamp, LinkedIn Learning, MicrosoftLearn, Udemy",Education,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Trello, MS Teams, Google Meet",,"Chatgpt, Claude, Gemini, Perplexity",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events",,,Local employer,20 to 24
Secondary school student,"Caloocan, Philippines",Philippines,Male,Not currently using any digital tools for learning,Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Excel, Google Drive, MS Teams, Google Meet, Discord","Javascript, Python, SQL",,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Java User Group Philippines, Filipino Web Development Peers","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Volunteer for group initiatives",Currently don't have any for now,,,20 to 24
College degree,Baliwag City,Philippines,Male,"Cisco, Coursera, Datacamp, Git Hub Learning Lab, Google Analytics, IBM Skills Gateway, Kaggle Online course, LinkedIn Learning, MicrosoftLearn, Udemy","IT, BPO, and Business Services",Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Python, SQL",Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Analytics Association of the Philippines, Data Analytics Philippines, Datasense Philippines, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events",,,,40 to 44
College degree,"Taguig, Philippines",Philippines,Female,"Coursera, Datacamp, LinkedIn Learning, Udemy, W3Schools","IT, BPO, and Business Services",Professional,Work city same as residence,Quezon City,"125,001 to 250, 000",Full-time,Mostly work from home/ fully remote,Data Analyst,"Data Engineer, Business Analyst",6 to 10,Don't know,Pandas,,,,,,,Amazon Web Services (AWS),,"Google sheets, Excel, Google Drive, OneDrive, MS Teams","Appscript (Google), Python, R, SQL, VBA","Chatgpt, Copilot",Kaggle Notebooks,laptop,"No, I just found out now.",,"Datasense Philippines, FTW Foundation, PyData Philippines, AWS User Group Philippines","Career advancement, Decision to shift, Upskill / Skill acquisition, Network","Connect with sponsors, Co-training/ Training",I'm already seeing some helpful resources being shared to this group and I just want this group to keep that up. I'm so happy that this group exists,OnlineJobs.ph,Multinational employer,40 to 44
College degree,"Taytay, Philippines",Philippines,Female,Youtube bootcamp,Career shifters ,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Trello, Zoom, MS Teams, Discord","Python, R, SQL",,,laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, AWS AI/ML, Big Data Analytics PH, Data Analytics Philippines, Eskwelabs Data Science Aral-Aral Group, FTW Foundation, Power BI Philippines UG, Women Who Code Manila","Career advancement, Decision to shift","Answer surveys, Coordinate during events",,,,20 to 24
College degree,"Quezon City, Philippines",Philippines,Male,Cisco,"IT, BPO, and Business Services",Student/ New grad/ Career Break,,,,,,,,,,,DynamoDB,,,,,,Microsoft Azure,,"Google sheets, Excel, Google Drive, OneDrive, MS Teams, Discord",,"Chatgpt, Copilot",Kaggle Notebooks,laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, FTW Foundation, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition",,,,Local employer,20 to 24
College degree,"Davao City, Philippines",Philippines,Male,"Datacamp, Freecodecamp, Khan Academy",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Google Drive, Zoom, Google Meet","DAX (Power BI), Javascript, Python, SQL","No, I do not use AI currently",,laptop,"No, I just found out now.","No, I just browsed through.","Data Science Manila, Data Science Philippines, DEVCON Community Group, DEVCON Philippines, Programmers,Developers, Software DevOps & Data","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Regularly post content, Volunteer for group initiatives, Volunteer to speak in events",Non so far,,,25 to 29
College degree,"Bayombong, Nueva Vizcaya",Philippines,Female,Youtube bootcamp,"IT, BPO, and Business Services",Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Google Drive, Zoom, Discord",,Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.","AI Pilipinas, Analytics Association of the Philippines, Community: SPARTA PH, Data Analytics Philippines, Data Ethics PH, Data Science Manila, DevOps Philippines, DEVCON Community Group, DEVCON Philippines, Java User Group Philippines, R User Group - Philippines, WiTech, Women Who Code Manila","Career advancement, Continued learning, Upskill / Skill acquisition",,,,Intern,20 to 24
Secondary school student,"Pasig, Philippines",Philippines,Prefer not to say,W3Schools,,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Discord","R, VBA","Chatgpt, Gemini",Replit,laptop,"No, I just found out now.","No, I just browsed through.",Women Who Code Manila,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition",Answer surveys,,,"Hospital, IT Operations ",20 to 24
College degree,"Makati, Philippines",Philippines,Male,Not currently using any digital tools for learning,"IT, BPO, and Business Services",Professional,Work city different from residence,Taguig,"125,001 to 250, 000",Full-time,Hybrid,Software Engineer,"Management, Data Analyst",4 to 5,Databricks,Spark,"Big Query, Snowflake",Don't know,Power BI,"Spark, Python",Great Expectations,Datahub,"Amazon Web Services (AWS), Google Cloud Platform (GCP)",,"Google sheets, Excel, OneDrive, MS Teams","Python, SQL","Chatgpt, Claude, Copilot, Gemini","Amazon Sagemaker Studio, Amazon Sagemaker Studio Lab",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Big Data Analytics PH, Community: SPARTA PH, DEVCON Community Group, DEVCON Philippines, SPARTA PH: Data Engineer","Continued learning, Upskill / Skill acquisition, Network",Answer surveys,"Just a suggestion of how to categorize communication modes: I think using Stackoverflow's distinction between asynchronous communication (git, email, forums) and synchronous (Googlr Meet, MS Teams, etc.) Can be useful for further categorizing communication tools in this survey. One is good for keeping history of communication for future reference, the other is useful for context-rich and prompt communication.","LinkedIn, My network  - people I know",Local employer,30 to 34
